title,authors,journal,date,year,volume,issue,start,end,article.id,DOI,total.citations,citations.yr,category
Ten simple rules for getting published - Reply,"Grosch, Eric",PLOS COMPUTATIONAL BIOLOGY,Sep-07,2007,3,9,1836,1837,e190,10.1371/journal.pcbi.0030190,2,0.17,communication
Ten simple rules for writing a popular science book,"Kucharski, Adam J.",PLOS COMPUTATIONAL BIOLOGY,Feb-18,2018,14,2,,,e1005808,10.1371/journal.pcbi.1005808,0,0,communication
Ten simple rules for drawing scientific comics,"McDermott, Jason E.; Partridge, Matthew; Bromberg, Yana",PLOS COMPUTATIONAL BIOLOGY,Jan-18,2018,14,1,,,e1005845,10.1371/journal.pcbi.1005845,0,0,communication
Ten simple rules for writing a response to reviewers,"Noble, William Stafford",PLOS COMPUTATIONAL BIOLOGY,Oct-17,2017,13,10,,,e1005730,10.1371/journal.pcbi.1005730,0,0,communication
Ten simple rules for structuring papers,"Mensh, Brett; Kording, Konrad",PLOS COMPUTATIONAL BIOLOGY,Sep-17,2017,13,9,,,e1005619,10.1371/journal.pcbi.1005619,0,0,communication
Ten simple rules for short and swift presentations,"Lortie, Christopher J.",PLOS COMPUTATIONAL BIOLOGY,Mar-17,2017,13,3,,,e1005373,10.1371/journal.pcbi.1005373,0,0,communication
Ten Simple Rules for Writing a Reply Paper,"Simmons, Mark P.",PLOS COMPUTATIONAL BIOLOGY,Oct-15,2015,11,10,,,e1004536,10.1371/journal.pcbi.1004536,0,0,communication
Ten Simple Rules for Reproducible Computational Research,"Sandve, Geir Kjetil; Nekrutenko, Anton; Taylor, James; Hovig, Eivind",PLOS COMPUTATIONAL BIOLOGY,Oct-13,2013,9,10,,,e1003285,10.1371/journal.pcbi.1003285,111,18.5,computation
Ten Simple Rules for the Open Development of Scientific Software,"Prlic, Andreas; Procter, James B.",PLOS COMPUTATIONAL BIOLOGY,Dec-12,2012,8,12,,,e1002802,10.1371/journal.pcbi.1002802,33,4.71,computation
Ten Simple Rules for Effective Computational Research,"Osborne, James M.; Bernabeu, Miguel O.; Bruna, Maria; Calderhead, Ben; Cooper, Jonathan; Dalchau, Neil; Dunn, Sara-Jane; Fletcher, Alexander G.; Freeman, Robin; Groen, Derek; Knapp, Bernhard; McInerny, Greg J.; Mirams, Gary R.; Pitt-Francis, Joe; Sengupta, Biswa; Wright, David W.; Yates, Christian A.; Gavaghan, David J.; Emmott, Stephen; Deane, Charlotte",PLOS COMPUTATIONAL BIOLOGY,Mar-14,2014,10,3,,,e1003506,10.1371/journal.pcbi.1003506,18,3.6,computation
Ten Simple Rules for Taking Advantage of Git and GitHub,"Perez-Riverol, Yasset; Gatto, Laurent; Wang, Rui; Sachsenberg, Timo; Uszkoreit, Julian; Leprevost, Felipe da Veiga; Fufezan, Christian; Ternent, Tobias; Eglen, Stephen J.; Katz, Daniel S.; Pollard, Tom J.; Konovalov, Alexander; Flight, Robert M.; Blin, Kai; Vizcaino, Juan Antonio",PLOS COMPUTATIONAL BIOLOGY,Jul-16,2016,12,7,,,e1004947,10.1371/journal.pcbi.1004947,11,3.67,computation
Ten Simple Rules for Reducing Overoptimistic Reporting in Methodological Computational Research,"Boulesteix, Anne-Laure",PLOS COMPUTATIONAL BIOLOGY,Apr-15,2015,11,4,,,e1004191,10.1371/journal.pcbi.1004191,9,2.25,computation
Ten Simple Rules for Developing Usable Software in Computational Biology,"List, Markus; Ebert, Peter; Albrecht, Felipe",PLOS COMPUTATIONAL BIOLOGY,Jan-17,2017,13,1,,,e1005265,10.1371/journal.pcbi.1005265,6,3,computation
Ten Simple Rules for a Computational Biologist's Laboratory Notebook,"Schnell, Santiago",PLOS COMPUTATIONAL BIOLOGY,Sep-15,2015,11,9,,,e1004385,10.1371/journal.pcbi.1004385,3,0.75,computation
"Ten simple rules to create a serious game, illustrated with examples from structural biology","Baaden, Marc; Delalande, Olivier; Ferey, Nicolas; Pasquali, Samuela; Waldispuehl, Jerome; Taly, Antoine",PLOS COMPUTATIONAL BIOLOGY,Mar-18,2018,14,3,,,e1005955,10.1371/journal.pcbi.1005955,0,0,computation
Ten simple rules for making research software more robust,"Taschuk, Morgan; Wilson, Greg",PLOS COMPUTATIONAL BIOLOGY,Apr-17,2017,13,4,,,e1005412,10.1371/journal.pcbi.1005412,0,0,computation
Ten Simple Rules for the Care and Feeding of Scientific Data,"Goodman, Alyssa; Pepe, Alberto; Blocker, Alexander W.; Borgman, Christine L.; Cranmer, Kyle; Crosas, Merce; Di Stefano, Rosanne; Gil, Yolanda; Groth, Paul; Hedstrom, Margaret; Hogg, David W.; Kashyap, Vinay; Mahabal, Ashish; Siemiginowska, Aneta; Slavkovic, Aleksandra",PLOS COMPUTATIONAL BIOLOGY,Apr-14,2014,10,4,,,e1003542,10.1371/journal.pcbi.1003542,35,7,data
Ten simple rules for responsible big data research,"Zook, Matthew; Barocas, Solon; Boyd, Danah; Crawford, Kate; Keller, Emily; Gangadharan, Seeta Pena; Goodman, Alyssa; Hollander, Rachelle; Koenig, Barbara A.; Metcalf, Jacob; Narayanan, Arvind; Nelson, Alondra; Pasquale, Frank",PLOS COMPUTATIONAL BIOLOGY,Mar-17,2017,13,3,,,e1005399,10.1371/journal.pcbi.1005399,6,3,data
Ten Simple Rules for Creating a Good Data Management Plan,"Michener, William K.",PLOS COMPUTATIONAL BIOLOGY,Oct-15,2015,11,10,,,e1004525,10.1371/journal.pcbi.1004525,6,1.5,data
Ten Simple Rules for Developing Public Biological Databases,"Helmy, Mohamed; Crits-Christoph, Alexander; Bader, Gary D.",PLOS COMPUTATIONAL BIOLOGY,Nov-16,2016,12,11,,,e1005128,10.1371/journal.pcbi.1005128,2,0.67,data
Ten Simple Rules for Digital Data Storage,"Hart, Edmund M.; Barmby, Pauline; LeBauer, David; Michonneau, Francois; Mount, Sarah; Mulrooney, Patrick; Poisot, Timothee; Woo, Kara H.; Zimmerman, Naupaka B.; Hollister, Jeffrey W.",PLOS COMPUTATIONAL BIOLOGY,Oct-16,2016,12,10,,,e1005097,10.1371/journal.pcbi.1005097,0,0,data
Ten Simple Rules for Developing a Short Bioinformatics Training Course,"Via, Allegra; De las Rivas, Javier; Attwood, Teresa K.; Landsman, David; Brazas, Michelle D.; Leunissen, Jack A. M.; Tramontano, Anna; Schneider, Maria Victoria",PLOS COMPUTATIONAL BIOLOGY,Oct-11,2011,7,10,,,e1002245,10.1371/journal.pcbi.1002245,15,1.88,education
Ten Simple Rules for Teaching Bioinformatics at the High School Level,"Form, David; Lewitter, Fran",PLOS COMPUTATIONAL BIOLOGY,Oct-11,2011,7,10,,,e1002243,10.1371/journal.pcbi.1002243,9,1.13,education
Ten Simple Rules for Running Interactive Workshops,"Pavelin, Katrina; Pundir, Sangya; Cham, Jennifer A.",PLOS COMPUTATIONAL BIOLOGY,Feb-14,2014,10,2,,,,10.1371/journal.pcbi.1003485,7,1.4,education
Ten Simple Rules for Online Learning,"Searls, David B.",PLOS COMPUTATIONAL BIOLOGY,Sep-12,2012,8,9,,,e1002631,10.1371/journal.pcbi.1002631,6,0.86,education
Ten Simple Rules To Combine Teaching and Research,"Vicens, Quentin; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Apr-09,2009,5,4,,,e1000358,10.1371/journal.pcbi.1000358,5,0.5,education
Ten simple rules for biologists learning to program,"Carey, Maureen A.; Papin, Jason A.",PLOS COMPUTATIONAL BIOLOGY,Jan-18,2018,14,1,,,e1005871,10.1371/journal.pcbi.1005871,1,1,education
Ten Simple Rules for Developing a MOOC,"Manallack, David T.; Yuriev, Elizabeth",PLOS COMPUTATIONAL BIOLOGY,Oct-16,2016,12,10,,,e1005061,10.1371/journal.pcbi.1005061,1,0.33,education
Ten simple rules for collaborative lesson development,"Devenyi, Gabriel A.; Emonet, Remi; Harris, Rayna M.; Hertweck, Kate L.; Irving, Damien; Milligan, Ian; Wilson, Greg",PLOS COMPUTATIONAL BIOLOGY,Mar-18,2018,14,3,,,e1005963,10.1371/journal.pcbi.1005963,0,0,education
"Ten Simple Rules for Lifelong Learning, According to Hamming","Erren, Thomas C.; Slanger, Tracy E.; Gross, J. Valerie; Bourne, Philip E.; Cullen, Paul",PLOS COMPUTATIONAL BIOLOGY,Feb-15,2015,11,2,,,e1004020,10.1371/journal.pcbi.1004020,0,0,education
Ten simple rules for selecting a postdoctoral position,"Bourne, Philip E.; Friedberg, Iddo",PLOS COMPUTATIONAL BIOLOGY,Nov-06,2006,2,11,1327,1328,e121,10.1371/journal.pcbi.0020121,8,0.62,professional development
Ten Simple Rules for Choosing between Industry and Academia,"Searls, David B.",PLOS COMPUTATIONAL BIOLOGY,Jun-09,2009,5,6,,,e1000388,10.1371/journal.pcbi.1000388,5,0.5,professional development
Ten Simple Rules for Finishing Your PhD,"Marino, Jacopo; Stefan, Melanie I.; Blackford, Sarah",PLOS COMPUTATIONAL BIOLOGY,Dec-14,2014,10,12,,,e1003954,10.1371/journal.pcbi.1003954,4,0.8,professional development
Ten simple rules to make the most out of your undergraduate research career,"Yu, Megan; Kuo, Yu-Min",PLOS COMPUTATIONAL BIOLOGY,May-17,2017,13,5,,,e1005484,10.1371/journal.pcbi.1005484,3,1.5,professional development
Ten Simple Rules for Internship in a Pharmaceutical Company,"Chen, Bin",PLOS COMPUTATIONAL BIOLOGY,May-14,2014,10,5,,,e1003600,10.1371/journal.pcbi.1003600,3,0.6,professional development
Ten Simple Rules to Protect Your Intellectual Property,"Jolly, Mark; Fletcher, Anthony C.; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Nov-12,2012,8,11,,,e1002766,10.1371/journal.pcbi.1002766,3,0.43,professional development
Ten Simple Rules for Getting Ahead as a Computational Biologist in Academia,"Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Jan-11,2011,7,1,,,e1002001,10.1371/journal.pcbi.1002001,2,0.25,professional development
Ten Simple Rules for Writing a Postdoctoral Fellowship,"Yuan, Ke; Cai, Lei; Ngok, Siu Ping; Ma, Li; Botham, Crystal M.",PLOS COMPUTATIONAL BIOLOGY,Jul-16,2016,12,7,,,e1004934,10.1371/journal.pcbi.1004934,1,0.33,professional development
Ten Simple Rules to Win a Nobel Prize,"Roberts, Richard J.",PLOS COMPUTATIONAL BIOLOGY,Apr-15,2015,11,4,,,e1004084,10.1371/journal.pcbi.1004084,1,0.25,professional development
Ten Simple Rules for Starting a Company,"Fletcher, Anthony C.; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Mar-12,2012,8,3,,,e1002439,10.1371/journal.pcbi.1002439,1,0.14,professional development
Ten simple rules for writing a career development award proposal,"Botham, Crystal M.; Arribere, Joshua A.; Brubaker, Sky W.; Beier, Kevin T.",PLOS COMPUTATIONAL BIOLOGY,Dec-17,2017,13,12,,,e1005863,10.1371/journal.pcbi.1005863,0,0,professional development
Ten simple rules for international short-term research stays,"Forero, Diego A.; Lopez-Leon, Sandra; Patrinos, George P.",PLOS COMPUTATIONAL BIOLOGY,Dec-17,2017,13,12,,,e005832,10.1371/journal.pcbi.1005832,0,0,professional development
Ten simple rules in considering a career in academia versus government,"Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Oct-17,2017,13,10,,,e1005729,10.1371/journal.pcbi.1005729,0,0,professional development
Ten simple rules for developing a mentor-mentee expectations document,"Masters, Kristyn S.; Kreeger, Pamela K.",PLOS COMPUTATIONAL BIOLOGY,Sep-17,2017,13,9,,,e1005709,10.1371/journal.pcbi.1005709,0,0,professional development
Ten simple rules for successfully completing a graduate degree in Latin America,"Ruelas Inzunza, Ernesto; Salazar-Rivera, Gabriela I.; Lainez, Magdiel; Guadalupe Ruiz-Gomez, Maria; Dominguez-Eusebio, Carlo A.; Cristobal-Sanchez, Griselda; Faustino, Issaac A. Teodosio; Perez-Lopez, Edel; Campbell, Meagan L.; Vinicius Mertaf, Marcus; Latorre Beltran, Ivonne Tatiana; Armas, Fernanda; Mota-Vargas, Claudio",PLOS COMPUTATIONAL BIOLOGY,Sep-17,2017,13,9,,,e1005682,10.1371/journal.pcbi.1005682,0,0,professional development
Ten simple rules for getting the most out of a summer laboratory internship,"Aicher, Toby P.; Barabasi, Daniel L.; Harris, Benjamin D.; Nadig, Ajay; Williams, Kaitlin L.",PLOS COMPUTATIONAL BIOLOGY,Aug-17,2017,13,8,,,e1005606,10.1371/journal.pcbi.1005606,0,0,professional development
Ten simple rules to initiate and run a postdoctoral association,"Bruckmann, Chiara; Sebestyen, Endre",PLOS COMPUTATIONAL BIOLOGY,Aug-17,2017,13,8,,,e1005664,10.1371/journal.pcbi.1005664,0,0,professional development
Ten simple rules for surviving an interdisciplinary PhD,"Demharter, Samuel; Pearce, Nicholas; Beattie, Kylie; Frost, Isabel; Leem, Jinwoo; Martin, Alistair; Oppenheimer, Robert; Regep, Cristian; Rukat, Tammo; Skates, Alexander; Trendel, Nicola; Gavaghan, David J.; Deane, Charlotte M.; Knapp, Bernhard",PLOS COMPUTATIONAL BIOLOGY,May-17,2017,13,5,,,e1005512,10.1371/journal.pcbi.1005512,0,0,professional development
Ten Simple Rules for Developing a Successful Research Proposal in Brazil,"de Oliveira, Dyoni M.; Buckeridge, Marcos S.; dos Santos, Wanderley D.",PLOS COMPUTATIONAL BIOLOGY,Feb-17,2017,13,2,,,e1005289,10.1371/journal.pcbi.1005289,0,0,professional development
Ten Simple Rules for Approaching a New Job,"Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Jun-14,2014,10,6,,,e1003660,10.1371/journal.pcbi.1003660,0,0,professional development
"Ten simple rules for selecting a postdoctoral position (vol 2, art. no. e121, 2006)","Bourne, Philip E.; Friedberg, Iddo",PLOS COMPUTATIONAL BIOLOGY,Dec-06,2006,2,12,1663,1663,e181,10.1371/journal.pcbi.0020181,0,0,professional development
Ten simple rules for improving the supervision of medical students during their clerkships,"Simon, E. G.; Arthuis, C. J.; Marret, H.; Perrotin, F.",GYNECOLOGIE OBSTETRIQUE & FERTILITE,Apr-13,2013,41,4,215,217,,10.1016/j.gyobfe.2013.02.006,0,0,research
Understanding DCM: Ten simple rules for the clinician,"Kahan, Joshua; Foltynie, Tom",NEUROIMAGE,Dec-13,2013,83,,542,549,,10.1016/j.neuroimage.2013.07.008,24,4,research
Ten simple rules for reviewers,"Bourne, Philip E.; Korngreen, Alon",PLOS COMPUTATIONAL BIOLOGY,Sep-06,2006,2,9,973,974,E110,10.1371/journal.pcbi.0020110,21,1.62,research
Ten simple rules for getting published,"Bourne, PE",PLOS COMPUTATIONAL BIOLOGY,Oct-05,2005,1,5,341,342,e57,10.1371/journal.pcbi.0010057,19,1.36,research
Ten Simple Rules to Achieve Conference Speaker Gender Balance,"Martin, Jennifer L.",PLOS COMPUTATIONAL BIOLOGY,Nov-14,2014,10,11,,,e1003903,10.1371/journal.pcbi.1003903,16,3.2,research
Ten simple rules for aspiring scientists in a low-income country,"Moreno, Edgardo; Gutierrez, Jose-Maria",PLOS COMPUTATIONAL BIOLOGY,May-08,2008,4,5,,,e1000024,10.1371/journal.pcbi.1000024,9,0.82,research
"Ten simple rules for doing your best research, according to hamming","Erren, Thomas C.; Cullen, Paul; Erren, Michael; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Oct-07,2007,3,10,1839,1840,e213,10.1371/journal.pcbi.0030213,9,0.75,research
Ten Simple Rules for Protecting Research Integrity,"Shaw, David M.; Erren, Thomas C.",PLOS COMPUTATIONAL BIOLOGY,Oct-15,2015,11,10,,,e1004388,10.1371/journal.pcbi.1004388,6,1.5,research
Ten Simple Rules to Commercialize Scientific Research,"Fletcher, Anthony C.; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Sep-12,2012,8,9,,,e1002712,10.1371/journal.pcbi.1002712,6,0.86,research
Ten simple rules for graduate students,"Gu, Jenny; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Nov-07,2007,3,11,2045,2046,e229,10.1371/journal.pcbi.0030229,6,0.5,research
Ten Simple Rules for Selecting a Bio-ontology,"Malone, James; Stevens, Robert; Jupp, Simon; Hancocks, Tom; Parkinson, Helen; Brooksbank, Cath",PLOS COMPUTATIONAL BIOLOGY,Feb-16,2016,12,2,,,e1004743,10.1371/journal.pcbi.1004743,5,1.67,research
Ten Simple Rules for Experiments' Provenance,"Kazic, Toni",PLOS COMPUTATIONAL BIOLOGY,Oct-15,2015,11,10,,,e1004384,10.1371/journal.pcbi.1004384,3,0.75,research
Ten simple rules for responsible referencing,"Penders, Bart",PLOS COMPUTATIONAL BIOLOGY,Apr-18,2018,14,4,,,e1006036,10.1371/journal.pcbi.1006036,0,0,research
Ten simple rules for dynamic causal modeling,"Stephan, K. E.; Penny, W. D.; Moran, R. J.; den Ouden, H. E. M.; Daunizeau, J.; Friston, K. J.",NEUROIMAGE,FEB 15 2010,2010,49,4,3099,3109,,10.1016/j.neuroimage.2009.11.015,330,36.67,statistics
Ten simple rules for reporting voxel-based morphometry studies,"Ridgway, Gerard R.; Henley, Susie M. D.; Rohrer, Jonathan D.; Scahill, Rachael I.; Warren, Jason D.; Fox, Nick C.",NEUROIMAGE,MAY 1 2008,2008,40,4,1429,1435,,10.1016/j.neuroimage.2008.01.003,152,13.82,statistics
Ten simple rules for neuroimaging meta-analysis,"Mueller, Veronika I.; Cieslik, Edna C.; Laird, Angela R.; Fox, Peter T.; Radua, Joaquim; Mataix-Cols, David; Tench, Christopher R.; Yarkoni, Tal; Nichols, Thomas E.; Turkeltaub, Peter E.; Wager, Tor D.; Eickhoff, Simon B.",NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,Jan-18,2018,84,,151,161,,10.1016/j.neubiorev.2017.11.012,1,1,statistics
Ten Simple Rules for Effective Statistical Practice,"Kass, Robert E.; Caffo, Brian S.; Davidian, Marie; Meng, Xiao-Li; Yu, Bin; Reid, Nancy",PLOS COMPUTATIONAL BIOLOGY,Jun-16,2016,12,6,,,e1004961,10.1371/journal.pcbi.1004961,13,4.33,statistics
