Title,authors,title,date,year,volume,page,endpage,DOI,citations,citations.yr,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Ten simple rules for a successful collaboration,"Vicens, Quentin; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,MAR 2007,2007,3,335,336,10.1371/journal.pcbi.0030044,18,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,1,1,0,3,2,3,0
Ten Simple Rules for Effective Computational Research,"Osborne, James M.; Bernabeu, Miguel O.; Bruna, Maria; Calderhead, Ben; Cooper, Jonathan; Dalchau, Neil; Dunn, Sara-Jane; Fletcher, Alexander G.; Freeman, Robin; Groen, Derek; Knapp, Bernhard; McInerny, Greg J.; Mirams, Gary R.; Pitt-Francis, Joe; Sengupta, Biswa; Wright, David W.; Yates, Christian A.; Gavaghan, David J.; Emmott, Stephen; Deane, Charlotte",PLOS COMPUTATIONAL BIOLOGY,MAR 2014,2014,10,,,10.1371/journal.pcbi.1003506,17,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,3,0
Ten Simple Rules for Editing Wikipedia,"Logan, Darren W.; Sandal, Massimo; Gardner, Paul P.; Manske, Magnus; Bateman, Alex",PLOS COMPUTATIONAL BIOLOGY,SEP 2010,2010,6,,,10.1371/journal.pcbi.1000941,16,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,5,0,2,5,0
Ten simple rules for making good oral presentations,"Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,APR 2007,2007,3,593,594,10.1371/journal.pcbi.0030077,16,1.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1,2,3,2,2,0
Ten Simple Rules for Developing a Short Bioinformatics Training Course,"Via, Allegra; De las Rivas, Javier; Attwood, Teresa K.; Landsman, David; Brazas, Michelle D.; Leunissen, Jack A. M.; Tramontano, Anna; Schneider, Maria Victoria",PLOS COMPUTATIONAL BIOLOGY,OCT 2011,2011,7,,,10.1371/journal.pcbi.1002245,15,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,2,4,0
Ten Simple Rules of Live Tweeting at Scientific Conferences,"Ekins, Sean; Perlstein, Ethan O.",PLOS COMPUTATIONAL BIOLOGY,AUG 2014,2014,10,,,10.1371/journal.pcbi.1003789,13,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,1
Ten Simple Rules to Achieve Conference Speaker Gender Balance,"Martin, Jennifer L.",PLOS COMPUTATIONAL BIOLOGY,NOV 2014,2014,10,,,10.1371/journal.pcbi.1003903,12,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,6,0
Ten Simple Rules for Building and Maintaining a Scientific Reputation,"Bourne, Philip E.; Barbour, Virginia",PLOS COMPUTATIONAL BIOLOGY,JUN 2011,2011,7,,,10.1371/journal.pcbi.1002108,12,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,1,2,1,1
Ten simple rules for getting grants,"Bourne, Philip E.; Chalupa, Leo M.",PLOS COMPUTATIONAL BIOLOGY,FEB 2006,2006,2,59,60,10.1371/journal.pcbi.0020012,12,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,1,2,1,1,1,0
Ten Simple Rules for Effective Statistical Practice,"Kass, Robert E.; Caffo, Brian S.; Davidian, Marie; Meng, Xiao-Li; Yu, Bin; Reid, Nancy",PLOS COMPUTATIONAL BIOLOGY,JUN 2016,2016,12,,,10.1371/journal.pcbi.1004961,11,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
Ten Simple Rules for Getting Involved in Your Scientific Community,"Michaut, Magali",PLOS COMPUTATIONAL BIOLOGY,OCT 2011,2011,7,,,10.1371/journal.pcbi.1002232,10,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,3,0
Ten Simple Rules for Organizing a Virtual Conference-Anywhere,"Gichora, Nelson N.; Fatumo, Segun A.; Ngara, Mtakai V.; Chelbat, Noura; Ramdayal, Kavisha; Opap, Kenneth B.; Siwo, Geoffrey H.; Adebiyi, Marion O.; El Gonnouni, Amina; Zofou, Denis; Maurady, Amal A. M.; Adebiyi, Ezekiel F.; de Villiers, Etienne P.; Masiga, Daniel K.; Bizzaro, Jeffrey W.; Suravajhala, Prashanth; Ommeh, Sheila C.; Hide, Winston",PLOS COMPUTATIONAL BIOLOGY,FEB 2010,2010,6,,,10.1371/journal.pcbi.1000650,10,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,0,2,0
Ten Simple Rules for Reducing Overoptimistic Reporting in Methodological Computational Research,"Boulesteix, Anne-Laure",PLOS COMPUTATIONAL BIOLOGY,APR 2015,2015,11,,,10.1371/journal.pcbi.1004191,9,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,1
Ten Simple Rules for Teaching Bioinformatics at the High School Level,"Form, David; Lewitter, Fran",PLOS COMPUTATIONAL BIOLOGY,OCT 2011,2011,7,,,10.1371/journal.pcbi.1002243,9,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,3,0
Ten Simple Rules for Taking Advantage of Git and GitHub,"Perez-Riverol, Yasset; Gatto, Laurent; Wang, Rui; Sachsenberg, Timo; Uszkoreit, Julian; Leprevost, Felipe da Veiga; Fufezan, Christian; Ternent, Tobias; Eglen, Stephen J.; Katz, Daniel S.; Pollard, Tom J.; Konovalov, Alexander; Flight, Robert M.; Blin, Kai; Vizcaino, Juan Antonio",PLOS COMPUTATIONAL BIOLOGY,JUL 2016,2016,12,,,10.1371/journal.pcbi.1004947,8,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
Ten Simple Rules for Effective Online Outreach,"Bik, Holly M.; Dove, Alistair D. M.; Goldstein, Miriam C.; Helm, Rebecca R.; MacPherson, Rick; Martini, Kim; Warneke, Alexandria; McClain, Craig",PLOS COMPUTATIONAL BIOLOGY,APR 2015,2015,11,,,10.1371/journal.pcbi.1003906,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0
Ten Simple Rules for Better Figures,"Rougier, Nicolas P.; Droettboom, Michael; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,SEP 2014,2014,10,,,10.1371/journal.pcbi.1003833,8,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0
Ten simple rules for aspiring scientists in a low-income country,"Moreno, Edgardo; Gutierrez, Jose-Maria",PLOS COMPUTATIONAL BIOLOGY,MAY 2008,2008,4,,,10.1371/journal.pcbi.1000024,8,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,0
"Ten simple rules for doing your best research, according to hamming","Erren, Thomas C.; Cullen, Paul; Erren, Michael; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,OCT 2007,2007,3,1839,1840,10.1371/journal.pcbi.0030213,8,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,0
Ten simple rules for selecting a postdoctoral position,"Bourne, Philip E.; Friedberg, Iddo",PLOS COMPUTATIONAL BIOLOGY,NOV 2006,2006,2,1327,1328,10.1371/journal.pcbi.0020121,8,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,1,0,1,0,0
Ten Simple Rules for a Successful Cross-Disciplinary Collaboration,"Knapp, Bernhard; Bardenet, Remi; Bernabeu, Miguel O.; Bordas, Rafel; Bruna, Maria; Calderhead, Ben; Cooper, Jonathan; Fletcher, Alexander G.; Groen, Derek; Kuijper, Bram; Lewis, Joanna; McInerny, Greg; Minssen, Timo; Osborne, James; Paulitschke, Verena; Pitt-Francis, Joe; Todoric, Jelena; Yates, Christian A.; Gavaghan, David; Deane, Charlotte M.",PLOS COMPUTATIONAL BIOLOGY,APR 2015,2015,11,,,10.1371/journal.pcbi.1004214,7,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0
Ten Simple Rules for Running Interactive Workshops,"Pavelin, Katrina; Pundir, Sangya; Cham, Jennifer A.",PLOS COMPUTATIONAL BIOLOGY,FEB 2014,2014,10,,,10.1371/journal.pcbi.1003485,7,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0
Ten Simple (Empirical) Rules for Writing Science,"Weinberger, Cody J.; Evans, James A.; Allesina, Stefano",PLOS COMPUTATIONAL BIOLOGY,APR 2015,2015,11,,,10.1371/journal.pcbi.1004205,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
Ten Simple Rules for Organizing an Unconference,"Budd, Aidan; Dinkel, Holger; Corpas, Manuel; Fuller, Jonathan C.; Rubinat, Laura; Devos, Damien P.; Khoueiry, Pierre H.; Foestner, Konrad U.; Georgatos, Fotis; Rowland, Francis; Sharan, Malvika; Binder, Janos X.; Grace, Tom; Traphagen, Karyn; Gristwood, Adam; Wood, Natasha T.",PLOS COMPUTATIONAL BIOLOGY,JAN 2015,2015,11,,,10.1371/journal.pcbi.1003905,6,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0
